"zcta","tot_pop","white","black","alaskan_native","asian","pacific_islan","other","mixed_race"
"37690",4599,4498,27,0,0,0,0,148
"37691",583,555,0,0,0,0,0,56
"37692",4780,4574,30,52,16,0,67,82
"37694",2264,2211,21,0,0,0,0,64
"37701",7509,6026,1015,0,114,0,57,594
"37705",4388,3987,0,0,20,0,20,722
"37708",6078,5957,43,0,0,0,1,154
"37709",3876,3711,0,23,0,118,0,48
"37710",1161,1161,0,0,0,0,0,0
"37711",5496,5445,0,32,14,0,0,10
"37713",1364,1326,31,7,0,0,0,0
"37714",4485,4374,0,20,0,0,34,114
"37715",838,837,0,0,0,0,0,2
"37716",27768,26473,512,187,210,25,98,526
"37719",330,330,0,0,0,0,0,0
"37721",14024,13728,85,43,6,0,0,324
"37722",6759,6616,0,36,0,0,0,214
"37723",1038,1023,2,0,0,0,0,26
"37724",2378,2302,20,0,36,0,0,40
"37725",18514,17655,362,0,152,13,33,598
"37726",1792,1724,7,0,0,0,25,72
"37727",2450,2421,0,0,0,0,0,58
"37729",1937,1928,0,0,9,0,0,0
"37730",28,28,0,0,0,0,0,0
"37731",433,433,0,0,0,0,0,0
"37732",70,70,0,0,0,0,0,0
"37733",37,37,0,0,0,0,0,0
"37737",6058,5879,27,13,17,44,0,156
"37738",5343,4582,204,11,176,37,154,358
"37742",6362,6251,23,9,8,0,11,120
"37743",24791,23443,809,1,119,0,12,814
"37745",18233,16758,707,73,58,49,307,562
"37748",16745,15581,558,0,35,0,33,1076
"37752",6460,6117,87,10,91,0,13,284
"37753",833,829,1,0,0,0,2,2
"37754",3951,3889,14,0,0,0,34,28
"37755",2652,2603,47,0,0,0,2,0
"37756",2973,2897,23,45,3,0,2,6
"37757",10096,9805,13,18,147,0,0,226
"37760",13550,12658,399,6,122,0,38,654
"37762",2630,2456,33,0,0,0,11,260
"37763",15959,15085,412,100,73,0,32,514
"37764",10448,10107,45,21,0,0,0,550
"37765",601,601,0,0,0,0,0,0
"37766",17169,16663,51,0,5,0,127,646
"37769",5839,5747,32,0,0,0,10,100
"37770",2835,2809,0,12,0,0,0,28
"37771",17730,15757,157,38,46,0,456,2552
"37772",13106,11918,80,32,327,0,399,700
"37774",18340,17402,228,37,1,0,510,324
"37777",12763,11130,842,9,47,0,79,1312
