"store_name","store_id","review_count","ratings","categories","food_desert"
"Mini Hut","QqP1Pmhr4x7ynpKckwbi6g",125,4.5,"hotdogs,chickenshop",1
"Chipotle Mexican Grill","T6BI6lSmQHKwPPpslpsKKA",51,2.5,"mexican,hotdogs",1
"Sno Biz & Sand Pit Snacks","sdb0WQNPca2PWFtonrdJpQ",5,5,"shavedice,beaches,hotdogs",1
"Pita Pit","67vYovUNGHD5Zxy8Hk8wDg",25,3.5,"sandwiches,hotdogs,mediterranean",1
"Five Guys","TQXeADG9K_gevUKDBgBEpw",16,4,"burgers,hotdogs",1
"Cheeburger Cheeburger","XNC0aKtJCd9u70FP4uPLIg",83,3.5,"burgers,hotdogs",1
"Jersey Mike's Subs","h-5nSUrHe0dX0Ebs9VBxew",15,3.5,"sandwiches,hotdogs,delis",1
"Chick-fil-A","IKNr-f_qUZIPzYLNfuVggw",49,3,"hotdogs,chickenshop",1
"Five Guys","21m-_tPPoKkgwfl6uchSKQ",39,4,"burgers,hotdogs",1
"Firehouse Subs","8V9m0C9SBz8ZUQXKxFvR0w",19,3.5,"delis,hotdogs,sandwiches",1
"Freddy's Frozen Custard & Steakburgers","rVzxkMDYAbY12n33xm_qtA",72,3.5,"burgers,icecream,hotdogs",1
"Cook Out","f9LkOcEfKMYp154hvLdHdQ",14,2,"hotdogs,burgers,hotdog",1
"Jimmy John's","WRP4f4WmsYnFiBX9dddB9A",8,3,"sandwiches,hotdogs,delis",1
"Wendy's","zjlN2T0csI9I8pr6DOOBOg",10,3,"hotdogs,burgers",1
"Bojangles","1A76VOifVBMq5ZOfyVpYCg",9,3,"hotdogs",1
"Chick-fil-A","Ec0IXruUBt18wKBPcLJq2w",17,4,"hotdogs,chickenshop",1
"Wendy's","dSaG8wxAYD2MGtm-HryljQ",92,1.5,"hotdogs,burgers",1
"Richard's Drive In","pJPf5pVubWEufzlCS9JkLQ",39,3.5,"sandwiches,hotdogs",1
"Five Guys","9XKuGGtu2IW5_JTfgUrCkA",56,3.5,"burgers,hotdogs",1
