"store_name","store_id","review_count","ratings","categories","food_desert"
"Whole Foods Market","lr6PbzTLnzg8qorKCkrjZA",93,3.5,"grocery,healthmarkets,organic_stores",1
"Trader Joe's","7deldueJ9T-VSnn5zBeKCQ",85,4,"grocery",1
"Stop & Shop Food Store","HpHIC2OSE9NirsaPa8gmbA",1,5,"grocery,delis",1
"Walmart Supercenter","YpPgKWtj1uA9x57q2_a4Fg",6,2.5,"deptstores,grocery",1
"Hy-Vee","kyUC3fRMb-TKCY9VyZFkkg",4,4,"grocery",1
"Great Wall Oriental Food Store","ECzv7ToiIhGFE2kRy9XJXw",4,4.5,"grocery",1
"ALDI","2jbc5vL2Cj5AzIAEhurKbA",6,4.5,"grocery,markets,organic_stores",1
"Hy-Vee","r1iDMzd3dG5q-R-jQRJZCw",3,5,"grocery",1
"Roppolo's Grocery","-kvXf7mFnV9WAfwt3t474w",1,5,"grocery",1
"Jubilee Food Market","-duXXXsWKqj9tyxaJZTWrg",2,4.5,"grocery",1
"Walmart Supercenter","gKCkkiti6CW4wpnLpZ0Wow",21,2,"deptstores,grocery",1
"H-E-B","GxwB9IbEz7r6Cvh1QqKi-g",21,3.5,"grocery,drugstores,delis",1
"Homestead Market","9Pn9LE2XaXfFIoUicz8lmQ",7,5,"grocery,butcher,organic_stores",1
"Harris Teeter","Aawv6CC-YtA56HmCQM5l-Q",11,3.5,"grocery,beer_and_wine,pharmacy",1
"Lowes Foods","SIhEkwdkpB8MrLD1PbrN9A",10,4,"beer_and_wine,grocery,meats",1
"ALDI","sYp1RtIZdNcXnfQR45aF6g",7,4.5,"grocery,markets,organic_stores",1
"The Fresh Market","iDYPcz7o-3bLwBOM3CeQvg",26,3,"grocery",1
"Rosita's Tortillas","INZRrBIUNv25Q4GA_eB6WA",10,4.5,"grocery",1
"Peters Grocery & Liquor","j6zl1NmsNkH_ugyCj5UouA",9,4,"grocery",1
"Whole Foods Market","ZB32uNeSxqPmj1zHlA7CuQ",37,4,"grocery,healthmarkets,organic_stores",1
"Al Noor Supermarket & Restaurant","I9Er4dtqWvunjb7gD9BtOQ",12,4.5,"grocery,greek,mideastern",1
"Fairfield Market & Cafe","q5QChhGNVFHH_dLIpl1ZZw",18,5,"grocery,cafes",1
"Monjunis Italian Cafe and Grocery","3kGlYNys7IvJ5T6rmnIX7g",84,3.5,"italian,grocery",1
