"","Year","LocationName","Geolocation","TotalPopulation","OBESITY","DEPRESSION","CANCER","CHOLSCREEN","CHD"
"84",2019,1747,"POINT (-71.53504207 42.12478006)",5911,30,20.7,8.1,92.4,5.4
"85",2019,2446,"POINT (-71.12163747 42.3435197)",29311,18.9,18.4,5.6,89.4,3.7
"86",2019,2359,"POINT (-70.80138351 42.06542655)",17828,26.1,19.8,7.2,91.7,4.9
"87",2019,2669,"POINT (-69.99228301 41.67075277)",285,23,17.3,12.5,95.6,9.1
"88",2019,2921,"POINT (-71.51730827 41.76222099)",12361,28,21.4,7.5,93.4,5.1
"89",2019,1741,"POINT (-71.35127243 42.53002548)",4852,21.8,18,8.3,95.5,5
"90",2019,1474,"POINT (-71.75219387 42.66782335)",2125,25,21.8,7.2,92,5
"91",2019,2790,"POINT (-71.08423329 41.60607752)",15717,29.5,22.1,8.7,92.2,6.2
"92",2019,1506,"POINT (-72.10439474 42.19368109)",3390,32.4,22,8.2,91.4,6.5
"93",2019,2713,"POINT (-70.86304151 41.43371603)",52,26.6,19.4,9,94.7,6.3
"94",2019,1074,"POINT (-72.09427443 42.38660336)",319,29.6,22.8,6.1,88,4.3
"95",2019,1543,"POINT (-71.96725678 42.38480455)",7973,29.8,20.9,6.8,91.9,4.3
"96",2019,1105,"POINT (-72.57893429 42.09916875)",12350,38.9,23,4.6,83.1,7.4
"97",2019,2468,"POINT (-71.2416395 42.32579289)",5273,20.7,17.3,9,95.7,5.1
"98",2019,1220,"POINT (-73.11719082 42.62373419)",8603,25.6,21.5,8.7,90.7,7.1
"99",2019,2341,"POINT (-70.87229051 42.05578577)",10218,26.4,20.1,7.2,91.2,5
"100",2019,2859,"POINT (-71.74522209 41.96671817)",6738,30.6,23.3,7.6,92,6
"101",2019,2047,"POINT (-70.68375473 42.12865896)",180,24.1,17.7,11.3,94.4,8.1
"102",2019,1983,"POINT (-70.94263045 42.63722471)",6089,23.2,17.8,9.1,94.5,5.9
"103",2019,2655,"POINT (-70.38450439 41.63555208)",3518,23.2,18.7,11,94.5,7.5
"104",2019,1020,"POINT (-72.5627275 42.16399216)",29668,27.6,23.4,8,90,6.8
"105",2019,1201,"POINT (-73.27641971 42.44996921)",46504,26.8,21.3,8.3,90.2,7.2
"106",2019,2760,"POINT (-71.33587832 41.97000818)",26739,29.9,22.3,7,90.9,4.9
"107",2019,2457,"POINT (-71.27424175 42.29880728)",1432,11.6,19.3,0.8,76.6,0.5
"108",2019,2857,"POINT (-71.63202704 41.82931267)",8412,28.9,21.9,8.4,94,5.9
"109",2019,2743,"POINT (-70.90117114 41.71401762)",10307,30.4,23.1,8.2,90.6,6.2
"110",2019,1590,"POINT (-71.75092869 42.13397726)",8875,30.7,21.1,7.4,92.4,5
