"zcta","year","population","aland10","count_sales_445110","popden_sales_445110","aden_sales_445110"
1540,2017,11386,19.34534,2,0.1756543,0.1033841
1541,2017,3438,35.4324,2,0.5817336,0.0564455
1542,2017,2299,4.026299,0,0,0
1543,2017,8463,35.12545,0,0,0
1545,2017,36269,20.74603,15,0.4135763,0.7230299
1550,2017,16858,20.23895,4,0.2372761,0.1976387
1560,2017,4477,3.561955,0,0,0
1561,2017,243,0.1232728,0,0,0
1562,2017,11856,32.85123,2,0.1686909,0.0608805
1564,2017,8000,30.6156,1,0.125,0.0326631
1566,2017,6006,28.34809,4,0.6660007,0.141103
1568,2017,7706,21.45575,1,0.129769,0.0466076
1569,2017,13864,29.07751,4,0.288517,0.1375634
1570,2017,16926,12.35728,3,0.1772421,0.242772
1571,2017,11637,20.83237,3,0.2577984,0.1440067
1581,2017,18836,20.60148,8,0.4247186,0.3883216
1583,2017,7639,12.61836,1,0.1309072,0.0792496
1585,2017,4661,25.54758,1,0.2145462,0.0391427
1588,2017,9864,8.608624,4,0.405515,0.4646504
1590,2017,9297,32.01833,0,0,0
1602,2017,24166,5.768042,5,0.2069023,0.8668453
1603,2017,19981,4.512156,11,0.550523,2.437859
1604,2017,36772,6.438514,13,0.3535298,2.019099
1605,2017,28742,5.641131,14,0.4870921,2.481772
1606,2017,19375,5.928163,8,0.4129032,1.349491
1607,2017,8698,3.162699,3,0.3449069,0.9485568
1608,2017,3371,0.4475333,5,1.483239,11.17235
1609,2017,20714,3.821057,13,0.6275949,3.4022
1610,2017,23438,2.1243,18,0.7679836,8.473377
1611,2017,2451,3.441866,1,0.4079967,0.2905401
1612,2017,4845,15.31369,2,0.4127967,0.1306021
1701,2017,32098,16.96717,15,0.4673188,0.88406
1702,2017,39226,8.089408,17,0.433386,2.101514
1718,2017,716,0.0464326,0,0,0
1719,2017,5546,10.28531,0,0,0
1720,2017,22680,19.71436,6,0.2645503,0.3043467
1721,2017,17478,12.33768,6,0.3432887,0.4863153
1730,2017,14031,13.70236,2,0.1425415,0.1459602
1731,2017,2012,0.7922133,1,0.4970179,1.262286
1740,2017,5167,19.94353,1,0.1935359,0.0501416
1741,2017,5160,15.27434,2,0.3875969,0.1309386
1742,2017,19383,24.4356,8,0.4127328,0.3273911
1745,2017,501,0.3990516,1,1.996008,2.505941
1746,2017,14480,18.65364,1,0.0690608,0.0536088
1747,2017,5955,5.175434,0,0,0
1748,2017,16720,26.22521,2,0.1196172,0.0762625
1749,2017,19843,11.52673,10,0.503956,0.8675488
1752,2017,39771,20.86469,20,0.502879,0.9585573
1754,2017,10560,5.209315,4,0.3787879,0.7678553
1756,2017,5995,17.7722,1,0.1668057,0.0562677
1757,2017,28694,14.89509,14,0.4879069,0.9399069
1760,2017,35715,14.81709,4,0.1119978,0.2699586
1770,2017,4302,15.78822,2,0.4649,0.1266767
1772,2017,9520,13.60385,7,0.7352941,0.5145604
