zcta,mean_income
19102,177851
20194,177821
10019,177809
60606,177715
2066,177695
92009,177632
98940,177552
94568,177533
11507,177436
20004,177415
48323,177400
95830,177364
10560,177313
76248,177277
84063,177114
93908,177083
22314,177075
10103,176904
10110,176904
10111,176904
10112,176904
10115,176904
10119,176904
10152,176904
10153,176904
10154,176904
10165,176904
10167,176904
10168,176904
10169,176904
10170,176904
10171,176904
10172,176904
10173,176904
10174,176904
10177,176904
10199,176904
18940,176878
89451,176858
1746,176854
10025,176758
10503,176757
60611,176681
43054,176545
1940,176518
95130,176469
20842,176371
11569,176241
3087,176225
19422,176158
94115,176143
34108,175941
38644,175841
1745,175712
11566,175710
55357,175704
94963,175684
29659,175599
90290,175506
95762,175355
7076,175344
24957,175328
48098,175282
20169,175255
80238,175069
23112,175063
57434,175050
6060,174967
60012,174959
23433,174914
3049,174778
19004,174755
33327,174748
7310,174697
98008,174696
11725,174669
93924,174653
6336,174651
80121,174623
20132,174577
43013,174576
20778,174573
78701,174288
27608,174255
77008,174193
48363,174124
79541,174034
95113,174008
80135,174006
32836,173903
8824,173865
91604,173855
37205,173784
98029,173740
92024,173529
8514,173513
7006,173476
18602,173464
6070,173262
10549,173220
10956,173129
6089,173065
33076,173046
10020,173036.6585
18954,172961
76226,172943
75229,172883
30004,172784
2535,172772
94128,172767.3333
7642,172766
33496,172691
6777,172571
11935,172542
21111,172425
93730,172378
21797,172271
98199,172243
7068,172176
37014,172160
59848,172017
61525,171856
8867,171460
60062,171445
30307,171444
6796,171434
95134,171370
60026,171305
6073,171275
19034,171268
30319,171253
7676,171224
7044,171171
46814,171096
94592,170959
20721,170863
2466,170857
1827,170821
11957,170790
21612,170725
6107,170642
1450,170635
5059,170594
80118,170581
8534,170536
21210,170517
77007,170438
92663,170390
33331,170376
48230,170376
28173,170349
55436,170292
15238,170167
19372,170163
11780,170113
25567,170104
98024,170052
7418,169953
10994,169947
21120,169841
29401,169820
12503,169810
11549,169793.4474
11556,169793.4474
7661,169764
3755,169631
10984,169572
91377,169474
94089,169449
11963,169429
20112,169371
11783,169355
1720,169321
43021,169292
66085,169261
92782,169214
20689,169125
98065,169105
58047,169103
80007,169074
11231,169055
53122,169015
94116,168985
22185,168877.4375
94922,168801
1093,168735
77479,168713
92131,168712
79527,168649
33330,168627
21704,168575
55410,168516
73116,168499
77494,168443
28211,168428
77381,168408
19073,168382
46301,168369
10709,168352
80914,168318
77345,168286
60523,168159
20176,168157
14032,168114
81611,168074
11747,168013
22032,167863
1775,167832
30075,167699
33957,167697
2458,167635
12427,167624
91030,167620
55446,167586
21409,167568
2460,167466
11710,167465
2339,167440
8515,167421
67230,167406
60113,167374
19031,167372
73007,167327
89138,167262
3871,167170
8736,167153
8247,167108
94972,167104.8
11718,167084
48324,167077
40026,166985
11021,166860
34786,166800
78027,166681
68007,166660
45208,166533
10605,166510
2129,166500
20615,166447
20118,166293.9565
11790,166275
95131,166227
4105,166220
11570,166176
10001,166167
22214,166156.2
79748,166148
98117,166123
90291,166091
78669,166082
7009,166075
3031,166046
44236,166037
94965,165879
94061,165799
60184,165705
20878,165642
8844,165522
23226,165512
55613,165507
92118,165468
6756,165466
94515,165466
22720,165448
23354,165442
7016,165377
76262,165336
1886,165288
11962,165268
98052,165241
71111,165198
98019,165136
33140,165133
60540,165121
92610,165074
68069,165066
91381,165015
20117,165002
8528,164944
60514,164885
18034,164883
10567,164871
43065,164849
7834,164831
7656,164821
31411,164775
1951,164732
14534,164690
78015,164652
7042,164593
68523,164544
95391,164452
30022,164348
1254,164330
1106,164319
46033,164203
75182,164192
22627,164163
7058,164149
21770,164129
11777,164044
60527,164023
28226,164009
7871,163995
3110,163986
20003,163828
90068,163696
30005,163691
11977,163667
55001,163640
3750,163429
94030,163425
2053,163387
11709,163353
7435,163274
53183,163268
8062,163201
2462,163191
11040,163186
48167,163135
78737,162987
60203,162970
33316,162905
19106,162885
75013,162876
90292,162869
55359,162863
94548,162863
80023,162835
20136,162834
1983,162811
53017,162755
1864,162654
10985,162647
92106,162638
8840,162636
15143,162607
95148,162601
20855,162600
55317,162588
2203,162500.5
8003,162489
75032,162457
98177,162366
60585,162340
3033,162222
6443,162157
95035,162133
55364,162042
19426,161942
10507,161886
13331,161885
19002,161793
96146,161758
98110,161748
60044,161713
8530,161712
15086,161712
7092,161711
1541,161710
95650,161688
11978,161675
2835,161627
97231,161621
34760,161575
85377,161557
91362,161489
20147,161487
52228,161355
78738,161351
90064,161321
8056,161309
12115,161291
20769,161285
75209,161269
80016,161256
50323,161237
78619,161231
8221,161127
58735,161111
15090,161069
85259,161030
10607,160887
10707,160879
10519,160840
98072,160771
33786,160761
2554,160727
11782,160640
20187,160631
17041,160606
21054,160572
1568,160548
20720,160542
16847,160533
60126,160509
6783,160475
11786,160470
22201,160441
44286,160397
3885,160379
18980,160375
61884,160369
92869,160267
80126,160254
21140,160243
22153,160238
84004,160160
95008,160128
2476,160092
31629,160058
48069,160051
6437,160026
4237,159985
12577,159980
53092,159972
60490,159927
12136,159872
92886,159843
11746,159834
84039,159827
10604,159821
92677,159805
92823,159791
1969,159756
15044,159589
10535,159535
60565,159505
8820,159442
75019,159434
92011,159413
11565,159412
97068,159411
95037,159410
20180,159401
7020,159313
83821,159274
46032,159203
8525,159197
94104,159164
23059,159119
20009,159084
33306,159083
7648,159043
55047,159014
20151,159005
11787,159002
33556,158971
89448,158957
60137,158949
19930,158909
20837,158854
20645,158845
7980,158822
90212,158695
98021,158593
52328,158554
30068,158531
7726,158517
20832,158514
8055,158477
98333,158476
50109,158432
6426,158418
87122,158396
84082,158300
96825,158292
91024,158259
6905,158246
63017,158239
10962,158187
33301,158132
22015,158092
98027,158050
90278,158019
72916,158011
77389,157984
44139,157903
80304,157820
91354,157798
92075,157797
38028,157780
21754,157758
11793,157726
98296,157711
33131,157682
75035,157641
81239,157629
10520,157593
72223,157570
85045,157463
32789,157455
89511,157438
90211,157395
33449,157394
7436,157374
53217,157364
55311,157352
68526,157337
7876,157323
3823,157287
84092,157206
66208,157169
57224,157152
18471,157127
7470,157096
12844,157054
17739,157000
84108,156943
2138,156896
20905,156878
75214,156805
18077,156793
85284,156784
95139,156742
92007,156716
12461,156704
34105,156598
95118,156462
19343,156413
6482,156182
80116,156164
65754,156120
61845,156117
14618,156076
61528,156061
95132,156061
14135,156003
76008,155934
1719,155919
19060,155911
11795,155865
80125,155785
92653,155769
7410,155712
90403,155708
11762,155661
33418,155660
55115,155644
7830,155640
7936,155638
27519,155626
6477,155623
94038,155565
19803,155557
8807,155555
94536,155530
6422,155510
19311,155499
11792,155487
21405,155458
1938,155373
8691,155354
97229,155336
22315,155315
10038,155311
2356,155300
93111,155288
30309,155264
95003,155261
91403,155202
1245,155186
1845,155181
20871,155147
7440,155142
2093,155111
6057,155060
93962,155031
7836,154974
91364,154972
6470,154917
48236,154826
84664,154814
6084,154757
60932,154721
95075,154645
43017,154621
60422,154600
29676,154563
78266,154494
22211,154473
94122,154450
7647,154443
52573,154427
29466,154320
33606,154284
1224,154249
11731,154239
28036,154215
60549,154193
21082,154181
19444,154146
98115,154113
59106,154107
78735,154050
15241,154028
60605,153980
92808,153951
2815,153942
21013,153934
7723,153902
33432,153895
92629,153812
37922,153796
13607,153756
7748,153753
10598,153734
43035,153731
68520,153706
20693,153686
92129,153614
80547,153556
20170,153539
60610,153502
7652,153500
6013,153489
68130,153336
43023,153324
95698,153308
75034,153302
55129,153260
1460,153195
20120,153192
1581,153175
6611,153155
78248,153133
66013,153108
19436,153100
91320,153090
7717,153047
60502,153038
20860,153033
83014,152998
7495,152955.7027
12788,152939
98332,152914
55419,152912
45040,152895
21043,152881
91307,152876
59211,152780
20736,152728
68118,152698
30009,152685
2464,152670
90277,152626
6093,152561
19086,152544
10579,152422
84085,152414
27614,152395
75094,152346
7666,152341
80130,152295
11697,152227
20754,152201
84020,152132
80439,152069
81657,152068
